payer_name,plan_type,effective_date,term_date,reimbursement_method,drg_code,drg_description,cpt_code,cpt_description,service_category,contracted_rate,rate_basis,timely_filing_days,timely_filing_days_amended,appeal_window_days,prior_auth_required,carve_outs,renewal_date,amended
Anthem Blue Cross Blue Shield,Commercial PPO,2024-01-01,2026-06-30,Percent of Medicare,,,29881,Knee arthroscopy w/ meniscectomy,Outpatient,1635.0,Outpatient fee schedule,90,,90,True,Durable medical equipment and home health excluded; billed to ancillary vendor.,2026-04-01,False
Cigna,Commercial PPO,2024-01-01,2025-12-31,Hybrid: DRG case rate (IP) + fee schedule (OP),470,Major hip and knee joint replacement w/o MCC,,,Inpatient,15675.0,Negotiated case rate,90,120.0,120,True,None.,2025-10-15,False
Cigna,Commercial PPO,2024-01-01,2025-12-31,Hybrid: DRG case rate (IP) + fee schedule (OP),247,Percutaneous cardiovascular proc w/ drug-eluting stent,,,Inpatient,20800.0,Negotiated case rate,90,120.0,120,True,None.,2025-10-15,False
Cigna,Commercial PPO,2024-01-01,2025-12-31,Hybrid: DRG case rate (IP) + fee schedule (OP),291,Heart failure and shock w/ MCC,,,Inpatient,10125.0,Negotiated case rate,90,120.0,120,True,None.,2025-10-15,False
Cigna,Commercial PPO,2024-01-01,2025-12-31,Hybrid: DRG case rate (IP) + fee schedule (OP),871,Septicemia or severe sepsis w/o MV >96h w/ MCC,,,Inpatient,14400.0,Negotiated case rate,90,120.0,120,True,None.,2025-10-15,False
Cigna,Commercial PPO,2024-01-01,2025-12-31,Hybrid: DRG case rate (IP) + fee schedule (OP),190,Chronic obstructive pulmonary disease w/ MCC,,,Inpatient,8150.0,Negotiated case rate,90,120.0,120,True,None.,2025-10-15,False
Cigna,Commercial PPO,2024-01-01,2025-12-31,Hybrid: DRG case rate (IP) + fee schedule (OP),194,Simple pneumonia and pleurisy w/ CC,,,Inpatient,6700.0,Negotiated case rate,90,120.0,120,True,None.,2025-10-15,False
Cigna,Commercial PPO,2024-01-01,2025-12-31,Hybrid: DRG case rate (IP) + fee schedule (OP),765,Cesarean section w/ CC/MCC,,,Inpatient,9125.0,Negotiated case rate,90,120.0,120,True,None.,2025-10-15,False
Cigna,Commercial PPO,2024-01-01,2025-12-31,Hybrid: DRG case rate (IP) + fee schedule (OP),853,Infectious & parasitic dis w/ OR proc w/ MCC,,,Inpatient,34650.0,Negotiated case rate,90,120.0,120,True,None.,2025-10-15,False
Cigna,Commercial PPO,2024-01-01,2025-12-31,Hybrid: DRG case rate (IP) + fee schedule (OP),329,Major small & large bowel procedures w/ MCC,,,Inpatient,42800.0,Negotiated case rate,90,120.0,120,True,None.,2025-10-15,False
Cigna,Commercial PPO,2024-01-01,2025-12-31,Hybrid: DRG case rate (IP) + fee schedule (OP),064,Intracranial hemorrhage or cerebral infarction w/ MCC,,,Inpatient,13975.0,Negotiated case rate,90,120.0,120,True,None.,2025-10-15,False
Cigna,Commercial PPO,2024-01-01,2025-12-31,Hybrid: DRG case rate (IP) + fee schedule (OP),,,27447,Total knee arthroplasty,Outpatient,1770.0,Outpatient fee schedule,90,120.0,120,True,None.,2025-10-15,False
Cigna,Commercial PPO,2024-01-01,2025-12-31,Hybrid: DRG case rate (IP) + fee schedule (OP),,,70553,MRI brain w/ & w/o contrast,Outpatient,530.0,Outpatient fee schedule,90,120.0,120,True,None.,2025-10-15,False
Cigna,Commercial PPO,2024-01-01,2025-12-31,Hybrid: DRG case rate (IP) + fee schedule (OP),,,45378,"Colonoscopy, diagnostic",Outpatient,400.0,Outpatient fee schedule,90,120.0,120,False,None.,2025-10-15,False
Cigna,Commercial PPO,2024-01-01,2025-12-31,Hybrid: DRG case rate (IP) + fee schedule (OP),,,93452,Left heart catheterization,Outpatient,3245.0,Outpatient fee schedule,90,120.0,120,True,None.,2025-10-15,False
Cigna,Commercial PPO,2024-01-01,2025-12-31,Hybrid: DRG case rate (IP) + fee schedule (OP),,,99285,"Emergency dept visit, high complexity",Outpatient,450.0,Outpatient fee schedule,90,120.0,120,False,None.,2025-10-15,False
Cigna,Commercial PPO,2024-01-01,2025-12-31,Hybrid: DRG case rate (IP) + fee schedule (OP),,,29881,Knee arthroscopy w/ meniscectomy,Outpatient,1475.0,Outpatient fee schedule,90,120.0,120,True,None.,2025-10-15,False
Humana,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,470,Major hip and knee joint replacement w/o MCC,,,Inpatient,15400.0,108% of Medicare base,180,,180,True,Imaging requires prior authorization through Cohere Health.,2026-09-01,False
Humana,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,247,Percutaneous cardiovascular proc w/ drug-eluting stent,,,Inpatient,20400.0,108% of Medicare base,180,,180,True,Imaging requires prior authorization through Cohere Health.,2026-09-01,False
Humana,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,291,Heart failure and shock w/ MCC,,,Inpatient,9925.0,108% of Medicare base,180,,180,True,Imaging requires prior authorization through Cohere Health.,2026-09-01,False
Humana,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,871,Septicemia or severe sepsis w/o MV >96h w/ MCC,,,Inpatient,14150.0,108% of Medicare base,180,,180,True,Imaging requires prior authorization through Cohere Health.,2026-09-01,False
Humana,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,190,Chronic obstructive pulmonary disease w/ MCC,,,Inpatient,8000.0,108% of Medicare base,180,,180,True,Imaging requires prior authorization through Cohere Health.,2026-09-01,False
Humana,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,194,Simple pneumonia and pleurisy w/ CC,,,Inpatient,6600.0,108% of Medicare base,180,,180,True,Imaging requires prior authorization through Cohere Health.,2026-09-01,False
Humana,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,765,Cesarean section w/ CC/MCC,,,Inpatient,8975.0,108% of Medicare base,180,,180,True,Imaging requires prior authorization through Cohere Health.,2026-09-01,False
Humana,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,853,Infectious & parasitic dis w/ OR proc w/ MCC,,,Inpatient,34025.0,108% of Medicare base,180,,180,True,Imaging requires prior authorization through Cohere Health.,2026-09-01,False
Humana,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,329,Major small & large bowel procedures w/ MCC,,,Inpatient,42000.0,108% of Medicare base,180,,180,True,Imaging requires prior authorization through Cohere Health.,2026-09-01,False
Humana,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,064,Intracranial hemorrhage or cerebral infarction w/ MCC,,,Inpatient,13725.0,108% of Medicare base,180,,180,True,Imaging requires prior authorization through Cohere Health.,2026-09-01,False
Humana,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,,,27447,Total knee arthroplasty,Outpatient,1740.0,Outpatient fee schedule,180,,180,True,Imaging requires prior authorization through Cohere Health.,2026-09-01,False
Humana,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,,,70553,MRI brain w/ & w/o contrast,Outpatient,520.0,Outpatient fee schedule,180,,180,True,Imaging requires prior authorization through Cohere Health.,2026-09-01,False
Humana,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,,,45378,"Colonoscopy, diagnostic",Outpatient,395.0,Outpatient fee schedule,180,,180,False,Imaging requires prior authorization through Cohere Health.,2026-09-01,False
Humana,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,,,93452,Left heart catheterization,Outpatient,3185.0,Outpatient fee schedule,180,,180,True,Imaging requires prior authorization through Cohere Health.,2026-09-01,False
Humana,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,,,99285,"Emergency dept visit, high complexity",Outpatient,445.0,Outpatient fee schedule,180,,180,False,Imaging requires prior authorization through Cohere Health.,2026-09-01,False
Humana,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,,,29881,Knee arthroscopy w/ meniscectomy,Outpatient,1445.0,Outpatient fee schedule,180,,180,True,Imaging requires prior authorization through Cohere Health.,2026-09-01,False
Medicare Advantage (Wellcare),Medicare Advantage,2024-01-01,2025-12-31,Percent of Medicare,470,Major hip and knee joint replacement w/o MCC,,,Inpatient,14250.0,100% of Medicare base,365,,60,True,Follows CMS NCD/LCD coverage determinations.,2025-09-01,False
Medicare Advantage (Wellcare),Medicare Advantage,2024-01-01,2025-12-31,Percent of Medicare,247,Percutaneous cardiovascular proc w/ drug-eluting stent,,,Inpatient,18900.0,100% of Medicare base,365,,60,True,Follows CMS NCD/LCD coverage determinations.,2025-09-01,False
Medicare Advantage (Wellcare),Medicare Advantage,2024-01-01,2025-12-31,Percent of Medicare,291,Heart failure and shock w/ MCC,,,Inpatient,9200.0,100% of Medicare base,365,,60,True,Follows CMS NCD/LCD coverage determinations.,2025-09-01,False
Medicare Advantage (Wellcare),Medicare Advantage,2024-01-01,2025-12-31,Percent of Medicare,871,Septicemia or severe sepsis w/o MV >96h w/ MCC,,,Inpatient,13100.0,100% of Medicare base,365,,60,True,Follows CMS NCD/LCD coverage determinations.,2025-09-01,False
Medicare Advantage (Wellcare),Medicare Advantage,2024-01-01,2025-12-31,Percent of Medicare,190,Chronic obstructive pulmonary disease w/ MCC,,,Inpatient,7400.0,100% of Medicare base,365,,60,True,Follows CMS NCD/LCD coverage determinations.,2025-09-01,False
Medicare Advantage (Wellcare),Medicare Advantage,2024-01-01,2025-12-31,Percent of Medicare,194,Simple pneumonia and pleurisy w/ CC,,,Inpatient,6100.0,100% of Medicare base,365,,60,True,Follows CMS NCD/LCD coverage determinations.,2025-09-01,False
Medicare Advantage (Wellcare),Medicare Advantage,2024-01-01,2025-12-31,Percent of Medicare,765,Cesarean section w/ CC/MCC,,,Inpatient,8300.0,100% of Medicare base,365,,60,True,Follows CMS NCD/LCD coverage determinations.,2025-09-01,False
Medicare Advantage (Wellcare),Medicare Advantage,2024-01-01,2025-12-31,Percent of Medicare,853,Infectious & parasitic dis w/ OR proc w/ MCC,,,Inpatient,31500.0,100% of Medicare base,365,,60,True,Follows CMS NCD/LCD coverage determinations.,2025-09-01,False
Medicare Advantage (Wellcare),Medicare Advantage,2024-01-01,2025-12-31,Percent of Medicare,329,Major small & large bowel procedures w/ MCC,,,Inpatient,38900.0,100% of Medicare base,365,,60,True,Follows CMS NCD/LCD coverage determinations.,2025-09-01,False
Medicare Advantage (Wellcare),Medicare Advantage,2024-01-01,2025-12-31,Percent of Medicare,064,Intracranial hemorrhage or cerebral infarction w/ MCC,,,Inpatient,12700.0,100% of Medicare base,365,,60,True,Follows CMS NCD/LCD coverage determinations.,2025-09-01,False
Medicare Advantage (Wellcare),Medicare Advantage,2024-01-01,2025-12-31,Percent of Medicare,,,27447,Total knee arthroplasty,Outpatient,1610.0,Outpatient fee schedule,365,,60,True,Follows CMS NCD/LCD coverage determinations.,2025-09-01,False
Medicare Advantage (Wellcare),Medicare Advantage,2024-01-01,2025-12-31,Percent of Medicare,,,70553,MRI brain w/ & w/o contrast,Outpatient,480.0,Outpatient fee schedule,365,,60,True,Follows CMS NCD/LCD coverage determinations.,2025-09-01,False
Medicare Advantage (Wellcare),Medicare Advantage,2024-01-01,2025-12-31,Percent of Medicare,,,45378,"Colonoscopy, diagnostic",Outpatient,365.0,Outpatient fee schedule,365,,60,False,Follows CMS NCD/LCD coverage determinations.,2025-09-01,False
Medicare Advantage (Wellcare),Medicare Advantage,2024-01-01,2025-12-31,Percent of Medicare,,,93452,Left heart catheterization,Outpatient,2950.0,Outpatient fee schedule,365,,60,True,Follows CMS NCD/LCD coverage determinations.,2025-09-01,False
Medicare Advantage (Wellcare),Medicare Advantage,2024-01-01,2025-12-31,Percent of Medicare,,,99285,"Emergency dept visit, high complexity",Outpatient,410.0,Outpatient fee schedule,365,,60,False,Follows CMS NCD/LCD coverage determinations.,2025-09-01,False
Medicare Advantage (Wellcare),Medicare Advantage,2024-01-01,2025-12-31,Percent of Medicare,,,29881,Knee arthroscopy w/ meniscectomy,Outpatient,1340.0,Outpatient fee schedule,365,,60,True,Follows CMS NCD/LCD coverage determinations.,2025-09-01,False
Sagebrush Regional Health Plan,Regional Commercial HMO,2024-01-01,2025-12-31,Per-DRG case rate,470,Major hip and knee joint replacement w/o MCC,,,Inpatient,14950.0,Negotiated case rate,60,,90,False,Out-of-area emergency services reimbursed at billed charges up to 150% of Medicare.,2025-08-01,False
Sagebrush Regional Health Plan,Regional Commercial HMO,2024-01-01,2025-12-31,Per-DRG case rate,247,Percutaneous cardiovascular proc w/ drug-eluting stent,,,Inpatient,19850.0,Negotiated case rate,60,,90,False,Out-of-area emergency services reimbursed at billed charges up to 150% of Medicare.,2025-08-01,False
Sagebrush Regional Health Plan,Regional Commercial HMO,2024-01-01,2025-12-31,Per-DRG case rate,291,Heart failure and shock w/ MCC,,,Inpatient,9650.0,Negotiated case rate,60,,90,False,Out-of-area emergency services reimbursed at billed charges up to 150% of Medicare.,2025-08-01,False
Sagebrush Regional Health Plan,Regional Commercial HMO,2024-01-01,2025-12-31,Per-DRG case rate,871,Septicemia or severe sepsis w/o MV >96h w/ MCC,,,Inpatient,13750.0,Negotiated case rate,60,,90,False,Out-of-area emergency services reimbursed at billed charges up to 150% of Medicare.,2025-08-01,False
Sagebrush Regional Health Plan,Regional Commercial HMO,2024-01-01,2025-12-31,Per-DRG case rate,190,Chronic obstructive pulmonary disease w/ MCC,,,Inpatient,7775.0,Negotiated case rate,60,,90,False,Out-of-area emergency services reimbursed at billed charges up to 150% of Medicare.,2025-08-01,False
Sagebrush Regional Health Plan,Regional Commercial HMO,2024-01-01,2025-12-31,Per-DRG case rate,194,Simple pneumonia and pleurisy w/ CC,,,Inpatient,6400.0,Negotiated case rate,60,,90,False,Out-of-area emergency services reimbursed at billed charges up to 150% of Medicare.,2025-08-01,False
Sagebrush Regional Health Plan,Regional Commercial HMO,2024-01-01,2025-12-31,Per-DRG case rate,765,Cesarean section w/ CC/MCC,,,Inpatient,8725.0,Negotiated case rate,60,,90,False,Out-of-area emergency services reimbursed at billed charges up to 150% of Medicare.,2025-08-01,False
Sagebrush Regional Health Plan,Regional Commercial HMO,2024-01-01,2025-12-31,Per-DRG case rate,853,Infectious & parasitic dis w/ OR proc w/ MCC,,,Inpatient,33075.0,Negotiated case rate,60,,90,False,Out-of-area emergency services reimbursed at billed charges up to 150% of Medicare.,2025-08-01,False
Sagebrush Regional Health Plan,Regional Commercial HMO,2024-01-01,2025-12-31,Per-DRG case rate,329,Major small & large bowel procedures w/ MCC,,,Inpatient,40850.0,Negotiated case rate,60,,90,False,Out-of-area emergency services reimbursed at billed charges up to 150% of Medicare.,2025-08-01,False
Sagebrush Regional Health Plan,Regional Commercial HMO,2024-01-01,2025-12-31,Per-DRG case rate,064,Intracranial hemorrhage or cerebral infarction w/ MCC,,,Inpatient,13325.0,Negotiated case rate,60,,90,False,Out-of-area emergency services reimbursed at billed charges up to 150% of Medicare.,2025-08-01,False
Sagebrush Regional Health Plan,Regional Commercial HMO,2024-01-01,2025-12-31,Per-DRG case rate,,,27447,Total knee arthroplasty,Outpatient,1690.0,Outpatient fee schedule,60,,90,False,Out-of-area emergency services reimbursed at billed charges up to 150% of Medicare.,2025-08-01,False
Sagebrush Regional Health Plan,Regional Commercial HMO,2024-01-01,2025-12-31,Per-DRG case rate,,,70553,MRI brain w/ & w/o contrast,Outpatient,505.0,Outpatient fee schedule,60,,90,False,Out-of-area emergency services reimbursed at billed charges up to 150% of Medicare.,2025-08-01,False
